2023-10-07 19:07:40 configure libudev1:armhf 252.17-1~deb12u1 <none>
2023-10-07 19:07:40 status unpacked libudev1:armhf 252.17-1~deb12u1
2023-10-07 19:07:40 status half-configured libudev1:armhf 252.17-1~deb12u1
2023-10-07 19:07:40 status installed libudev1:armhf 252.17-1~deb12u1
2023-10-07 19:07:40 configure libffi8:armhf 3.4.4-1 <none>
2023-10-07 19:07:40 status unpacked libffi8:armhf 3.4.4-1
2023-10-07 19:07:40 status half-configured libffi8:armhf 3.4.4-1
2023-10-07 19:07:40 status installed libffi8:armhf 3.4.4-1
2023-10-07 19:07:40 configure libmd0:armhf 1.0.4-2 <none>
2023-10-07 19:07:40 status unpacked libmd0:armhf 1.0.4-2
2023-10-07 19:07:40 status half-configured libmd0:armhf 1.0.4-2
2023-10-07 19:07:40 status installed libmd0:armhf 1.0.4-2
